OTU_id	F14RhizoFungi.2p.A1	F14RhizoFungi.2p.C2	F14RhizoFungi.2p.C4	F14RhizoFungi.2p.D3	F14RhizoFungi.H8	F14RhizoFungi.H9	F14Group.Rhizo108	F14Group.Rhizo99	F14RhizoFungi.G10	F14RhizoFungi.H3	F15RhizoFungi.2p.B1	F15RhizoFungi.2p.C2	F15RhizoFungi.2p.A1	F15RhizoFungi.2p.B5	F15RhizoFungi.2p.D3	F15RhizoFungi.H8	F15Group.Rhizo111	F15Group.Rhizo108	F15RhizoFungi.G10	F15RhizoFungi.G5
Otu00292	1	0	0	8	11	8	0	0	0	0	9	9	3	204	1	1	5	0	0	0
Otu00293	0	0	0	0	0	0	47	0	0	0	8	0	0	0	0	4	44	11	0	0
Otu00295	1	2	3	1	3	2	0	6	0	1	4	22	4	3	0	9	0	0	0	2
Otu00297	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00298	0	1	0	0	1	22	0	0	0	0	17	0	23	0	5	3	0	0	0	0
Otu00301	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00304	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1
Otu00305	0	0	0	0	3	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0
Otu00306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Otu00307	0	0	0	0	0	0	0	0	0	0	0	0	0	15	37	1	0	0	55	0
Otu00308	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0
Otu00310	0	0	1	18	0	0	0	11	8	0	0	14	2	0	2	2	0	5	0	0
Otu00313	0	0	0	0	0	0	0	0	0	0	0	7	2	4	6	0	0	6	0	0
Otu00314	0	104	0	0	20	8	0	0	0	0	4	21	1	0	5	1	0	0	0	0
Otu00315	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	29
Otu00316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	28	8
Otu00317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	9	0	0
Otu00318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	8	0	12
Otu00319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0
Otu00320	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00324	0	0	5	4	0	0	0	0	0	0	3	0	0	10	11	0	0	0	0	0
Otu00325	0	0	0	0	0	0	0	0	0	0	5	0	0	43	0	0	0	0	0	0
Otu00328	0	0	0	0	0	0	0	0	6	0	0	7	3	0	3	0	0	0	0	0
Otu00329	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0
Otu00330	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00331	0	2	1	1	3	4	0	1	0	0	0	16	0	0	6	6	0	4	9	1
Otu00335	0	0	0	1	0	0	2	2	0	1	0	0	1	1	0	0	0	2	33	0
Otu00337	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
Otu00338	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	29
Otu00340	0	80	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu00341	0	0	0	0	0	0	0	0	0	0	0	1	3	73	0	0	3	8	0	10
Otu00344	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Otu00345	0	0	0	0	0	0	0	0	0	0	2	0	1	7	178	20	0	0	0	0
Otu00346	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0
Otu00347	0	1	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
Otu00348	0	0	0	15	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00349	0	0	0	4	0	0	0	0	0	0	1	61	3	6	48	6	0	0	0	0
Otu00352	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00353	0	0	0	0	0	0	0	0	0	0	0	14	44	0	0	0	1	0	0	1
Otu00356	0	0	0	0	0	0	0	0	0	0	24	9	2	0	0	0	0	0	0	0
Otu00357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8
Otu00361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0
Otu00363	0	4	0	0	66	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Otu00364	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Otu00366	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0
Otu00368	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00370	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0
Otu00371	0	0	0	0	0	1	0	0	0	0	44	0	28	0	0	0	0	2	0	5
Otu00374	0	1	0	0	5	5	0	0	0	0	7	0	0	0	4	3	0	0	0	0
Otu00378	1	0	0	2	2	1	0	24	0	0	0	2	1	6	1	0	0	0	0	1
Otu00379	0	1	1	1	7	2	0	0	0	0	1	11	0	9	18	5	0	0	0	5
Otu00380	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
Otu00381	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0
Otu00382	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu00383	0	0	0	0	0	0	0	0	0	0	0	56	0	1	0	0	0	0	0	0
Otu00386	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
