"","Count","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","module","connectivity","participation","role","Compartment","Rootstock"
"Otu003222","503","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Septoglomus","s__Septoglomus_viscosum","Otu00322",22,-0.0889704439278141,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu002862","649","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus","s__Rhizophagus_fasciculatus","Otu00286",22,-0.0889704439278141,0.277777777777778,"Peripheral","Rhizosphere","RST-04-106"
"Otu0000911","45386","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Haematonectria","s__Haematonectria_haematococca","Otu00009",22,-0.0889704439278141,0.448979591836735,"Peripheral","Rhizosphere","RST-04-106"
"Otu002173","1046","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Septoglomus","s__Septoglomus_sp","Otu00217",22,0.161764443505116,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu002621","790","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Scedosporium","s__Scedosporium_minutispora","Otu00262",22,0.161764443505116,0.493827160493827,"Peripheral","Rhizosphere","RST-04-106"
"Otu00326","488","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus","s__Ascobolus_sp","Otu00326",22,0.412499330938046,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu003982","352","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","o__Hypocreales_unclassified","o__Hypocreales_unclassified",NA,"Otu00398",22,0.412499330938046,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu001362","1944","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Septoglomus","s__Septoglomus_viscosum","Otu00136",22,0.663234218370976,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu002661","756","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00266",22,0.663234218370976,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu0000621","51221","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_family_Incertae_sedis","g__Phoma","s__Phoma_sp_UASWS0872","Otu00006",22,0.663234218370976,0.197530864197531,"Peripheral","Rhizosphere","RST-04-106"
"Otu000972","3004","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_family_Incertae_sedis","g__unclassified_Hypocreales","s__Hypocreales_sp","Otu00097",22,0.663234218370976,0.34,"Peripheral","Rhizosphere","RST-04-106"
"Otu002242","997","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_family_Incertae_sedis","g__Myrothecium","s__Myrothecium_sp","Otu00224",22,0.913969105803906,0.297520661157025,"Peripheral","Rhizosphere","RST-04-106"
"Otu00469","258","k__Fungi","p__Ascomycota","p__Ascomycota_unclassified","p__Ascomycota_unclassified","p__Ascomycota_unclassified","p__Ascomycota_unclassified",NA,"Otu00469",22,1.16470399323684,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu002841","663","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_family_Incertae_sedis","g__Stachybotrys","s__Stachybotrys_microspora","Otu00284",22,1.6661737681027,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu000802","3877","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_family_Incertae_sedis","g__Acremonium","s__Acremonium_sp_OUCMBI101028","Otu00080",22,1.6661737681027,0.142011834319527,"Peripheral","Rhizosphere","RST-04-106"
"Otu001902","1240","k__Fungi","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified","k__Fungi_unclassified",NA,"Otu00190",22,3.17058309270028,0.0997229916897507,"Connector Hub","Rhizosphere","RST-04-106"
"Otu002332","927","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__unclassified_Auriculariales","g__unclassified_Auriculariales","s__Auriculariales_sp","Otu00233",0,0,0,"Peripheral","Rhizosphere","Maxifort"
"Otu003621","408","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__unclassified_Auriculariales","g__unclassified_Auriculariales","s__Auriculariales_sp","Otu00362",0,0,0,"Peripheral","Rhizosphere","Maxifort"
