,Tunnel Number,Rootstock,Compartment,Community,Study_site,Phenology,Year,Number,Sample_name
15RhizoFungi.G5,Tunnel - 2,Selfgraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,28,15RhizoFungi.G5
15RhizoFungi.G12,Tunnel - 3,RST-04-106,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,29,15RhizoFungi.G12
15RhizoFungi.G2,Tunnel - 1,RST-04-106,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,30,15RhizoFungi.G2
15RhizoFungi.G7,Tunnel - 2,RST-04-106,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,31,15RhizoFungi.G7
15RhizoFungi.H5,Tunnel - 4,RST-04-106,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,32,15RhizoFungi.H5
15RhizoFungi.F11,Tunnel - 1,Nongraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,33,15RhizoFungi.F11
15RhizoFungi.G4,Tunnel - 2,Nongraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,34,15RhizoFungi.G4
15RhizoFungi.G9,Tunnel - 3,Nongraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,35,15RhizoFungi.G9
15RhizoFungi.H2,Tunnel - 4,Nongraft,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,36,15RhizoFungi.H2
15Group.Rhizo131,Tunnel - 4,Maxifort,Rhizosphere,Fungi,Common Harvest,Peak Harvest,2015,37,15Group.Rhizo131
15Group.Rhizo99,Tunnel - 3,Maxifort,Rhizosphere,Fungi,Common Harvest,Peak Harvest,2015,38,15Group.Rhizo99
15RhizoFungi.G3,Tunnel - 1,Maxifort,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,39,15RhizoFungi.G3
15RhizoFungi.G8,Tunnel - 2,Maxifort,Rhizosphere,Fungi,Common Harvest,Peak_Harvest,2015,40,15RhizoFungi.G8
15RootFungi.2p.B1,Tunnel - 3,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,1,15RootFungi.2p.B1
15RootFungi.2p.C2,Tunnel - 4,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,2,15RootFungi.2p.C2
15RootFungi.2p.A1,Tunnel - 2,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,3,15RootFungi.2p.A1
