OTU_id	F14RhizoFungi.2p.A4	F14RhizoFungi.2p.A6	F14RhizoFungi.2p.B3	F14RhizoFungi.2p.D1	F14RhizoFungi.2p.D6	F14RhizoFungi.H11	F14Group.Rhizo111	F14RhizoFungi.G12	F14RhizoFungi.G7	F14RhizoFungi.H5	F15RhizoFungi.2p.A4	F15RhizoFungi.2p.B3	F15RhizoFungi.2p.D1	F15RhizoFungi.2p.D6	F15RhizoFungi.H11	F15RhizoFungi.2p.A6	F15RhizoFungi.G12	F15RhizoFungi.G2	F15RhizoFungi.G7	F15RhizoFungi.H5
Otu00265	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	2	0	0
Otu00266	0	0	0	0	0	0	0	0	0	0	43	32	0	0	38	0	0	0	0	0
Otu00269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	45	0
Otu00270	0	0	0	0	0	0	0	28	3	3	0	0	0	0	0	0	13	2	5	0
Otu00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	10	0
Otu00272	0	0	1	0	0	0	0	0	1	0	0	3	0	0	5	2	5	0	17	2
Otu00274	0	0	4	0	354	0	0	0	0	0	1	0	0	0	0	10	0	0	0	22
Otu00275	0	8	0	0	0	5	0	0	0	0	0	57	0	5	28	2	0	0	0	0
Otu00276	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	39
Otu00277	0	140	4	0	0	9	0	0	0	0	132	0	0	0	0	0	0	0	67	0
Otu00278	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
Otu00280	0	0	1	0	0	1	0	0	0	0	13	3	5	17	21	4	6	0	0	0
Otu00281	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0
Otu00282	0	0	21	0	0	0	0	0	0	0	24	13	2	9	4	0	0	1	0	0
Otu00283	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	38	0	2	0
Otu00284	0	0	0	0	0	0	0	0	0	1	11	121	1	2	24	13	0	0	2	1
Otu00285	0	0	0	7	0	0	0	0	0	0	0	0	212	13	0	0	0	0	0	0
Otu00286	0	0	0	0	0	0	0	0	0	0	12	0	1	22	32	6	0	0	0	0
Otu00287	1	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	17	10	225
Otu00288	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	1	5	0
Otu00290	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	2	1	0
Otu00291	0	0	0	0	0	0	0	0	40	0	0	0	3	4	0	0	1	0	13	100
Otu00292	0	1	29	1	0	2	1	1	0	1	24	4	0	1	2	0	0	0	0	0
Otu00293	0	0	0	0	0	0	7	15	0	0	0	3	0	1	2	3	0	0	0	0
Otu00294	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Otu00295	0	3	1	2	0	1	10	0	0	1	0	0	0	2	17	4	0	2	8	1
Otu00297	0	0	0	1	0	0	10	1	0	37	0	0	0	0	0	0	0	0	0	0
Otu00298	8	0	23	0	0	0	0	0	0	0	0	16	0	0	0	1	0	0	0	0
Otu00299	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu00301	0	0	0	14	0	0	0	0	0	0	3	0	0	0	3	1	0	0	0	0
Otu00304	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Otu00306	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
Otu00307	0	0	0	0	0	0	0	0	0	10	0	0	48	2	6	0	0	0	0	0
Otu00308	0	9	0	0	6	0	0	0	7	0	0	0	236	9	0	10	0	0	0	0
Otu00310	0	2	6	0	1	0	0	0	0	6	0	0	3	0	9	2	0	20	20	16
Otu00313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu00314	0	1	0	22	0	0	0	1	0	0	17	0	15	0	0	0	0	0	1	0
Otu00315	0	0	0	0	0	1	0	0	50	3	0	0	0	0	0	0	9	8	64	0
Otu00316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	1	28	40
Otu00318	0	0	0	0	0	0	0	0	10	69	0	0	0	0	0	1	0	0	0	0
Otu00320	14	1	15	0	0	0	0	0	3	0	0	0	0	0	0	0	0	31	23	0
Otu00321	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0
Otu00322	0	0	0	0	0	0	0	0	0	0	95	0	0	6	9	0	0	0	0	0
Otu00324	0	0	6	9	0	0	0	0	0	0	7	11	24	0	12	14	1	0	0	0
Otu00325	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	2	0	0	0	0
Otu00326	0	0	0	0	0	0	0	0	0	0	0	22	0	2	392	0	0	0	0	0
Otu00328	0	0	21	4	0	0	0	0	0	0	0	0	0	0	38	1	0	0	7	0
Otu00329	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	8	0
Otu00330	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00331	3	0	3	0	0	3	0	1	0	2	0	17	4	8	12	7	0	0	8	0
Otu00335	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
Otu00338	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0
Otu00340	24	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00341	0	0	0	0	0	0	0	0	2	0	6	0	0	4	11	0	1	0	51	0
Otu00344	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
Otu00345	0	0	0	0	0	0	0	0	0	0	75	3	0	8	1	0	0	0	0	0
Otu00346	0	19	0	0	0	0	0	0	0	0	0	12	0	0	0	4	0	0	0	0
Otu00347	0	0	0	0	0	0	0	0	0	0	61	1	0	0	0	0	0	0	0	0
Otu00348	0	0	0	0	0	0	28	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu00349	0	0	0	0	0	0	0	0	0	0	1	19	0	11	2	0	0	0	1	0
Otu00350	0	0	0	0	0	0	0	136	0	251	0	0	0	0	0	0	0	0	0	0
Otu00353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0
Otu00355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13
Otu00356	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	42	0	0	0	0
Otu00357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	0
Otu00360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	118	0
Otu00363	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00366	0	0	0	0	0	0	0	0	0	0	0	0	42	1	1	3	0	0	0	0
Otu00367	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu00368	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0
