OTU_id	F14RootFungi.2p.A5	F14RootFungi.2p.B4	F14RootFungi.2p.C3	F14RootFungi.2p.C5	F14RootFungi.2p.D2	F14RootFungi.H7	F14RootFungi.G3	F14Group.Root123	F14RootFungi.G9	F14RootFungi.H2	F15RootFungi.2p.D4	F15RootFungi.H9	F15RootFungi.2p.A5	F15RootFungi.2p.B4	F15RootFungi.H12	F15RootFungi.H7	F15RootFungi.F11	F15RootFungi.G4	F15RootFungi.G9	F15RootFungi.H2
Otu00282	2	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	2	0
Otu00283	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	21	0	0	0
Otu00284	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0
Otu00286	0	98	0	1	0	97	0	0	1	0	0	0	0	0	0	32	0	0	0	0
Otu00287	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0
Otu00289	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00291	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0
Otu00292	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
Otu00294	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0
Otu00295	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1
Otu00298	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
Otu00299	0	0	0	3	0	0	0	0	1	0	0	16	0	0	0	0	0	0	0	0
Otu00300	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0
Otu00302	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	23	0
Otu00303	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
Otu00304	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0
Otu00306	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
Otu00307	0	0	0	0	0	0	0	0	0	0	0	10	0	0	11	0	0	0	0	0
Otu00308	0	0	0	0	0	0	0	32	0	0	0	0	0	0	1	0	0	0	0	0
Otu00312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0
Otu00314	0	0	0	3	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0
Otu00315	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Otu00320	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	1	0
Otu00321	0	0	0	11	38	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
Otu00322	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0
Otu00324	0	0	6	0	0	0	0	0	0	0	27	0	0	0	0	0	22	0	0	0
Otu00325	0	0	0	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Otu00328	0	0	0	0	3	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
Otu00329	0	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00335	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00339	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
Otu00344	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu00345	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Otu00346	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Otu00348	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
