OTU_id	F14RhizoFungi.2p.A5	F14RhizoFungi.2p.B4	F14RhizoFungi.2p.C3	F14RhizoFungi.2p.C5	F14RhizoFungi.2p.D2	F14RhizoFungi.H7	F14RhizoFungi.G3	F14RhizoFungi.F11	F14RhizoFungi.G9	F14RhizoFungi.H2	F15RhizoFungi.2p.D4	F15RhizoFungi.H9	F15RhizoFungi.2p.A5	F15RhizoFungi.2p.B4	F15RhizoFungi.H12	F15RhizoFungi.H7	F15RhizoFungi.F11	F15RhizoFungi.G4	F15RhizoFungi.G9	F15RhizoFungi.H2
Otu00324	4	0	2	6	3	0	0	0	0	0	5	2	31	0	0	0	0	0	0	0
Otu00325	0	0	0	0	11	0	0	0	0	0	16	0	2	10	0	0	0	0	0	0
Otu00326	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00328	0	0	0	0	0	7	0	1	0	0	0	6	10	1	1	0	0	0	0	0
Otu00331	0	0	0	1	2	0	3	1	0	0	1	3	1	7	14	0	0	0	0	7
Otu00335	0	0	0	0	0	0	0	0	1	0	0	1	1	4	0	0	0	0	0	0
Otu00338	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu00340	0	8	3	0	0	0	0	1	0	0	0	0	0	0	93	0	0	0	0	0
Otu00341	0	0	4	0	0	0	0	0	0	0	0	0	0	56	3	1	3	10	0	0
Otu00343	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	446	0	0	0	0
Otu00344	0	0	0	0	0	0	4	0	0	39	0	0	0	0	0	0	0	0	0	3
Otu00345	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Otu00346	0	0	0	0	0	0	0	0	0	0	0	0	149	14	0	0	0	0	0	0
Otu00347	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu00348	0	0	80	3	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0
Otu00349	0	0	0	0	0	0	0	0	0	0	26	0	1	15	2	0	1	0	0	0
Otu00353	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	0	0	0
Otu00355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0
Otu00356	0	5	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0
