OTU_id	F14RootFungi.2p.A1	F14RootFungi.2p.C2	F14RootFungi.2p.C4	F14RootFungi.2p.D3	F14RootFungi.H8	F14RootFungi.H9	F14Group.Root108	F14Group.Root99	F14RootFungi.G10	F14RootFungi.H3	F15RootFungi.2p.B1	F15RootFungi.2p.C2	F15RootFungi.2p.A1	F15RootFungi.2p.B5	F15RootFungi.2p.D3	F15RootFungi.H8	F15Group.Root111	F15Group.Root108	F15RootFungi.G10	F15RootFungi.G5
Otu00331	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00335	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	1	0	0	0
Otu00338	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	9
Otu00345	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
Otu00347	0	0	0	0	0	0	0	0	0	0	12	0	83	0	0	0	0	0	0	0
Otu00349	0	0	0	0	0	0	0	0	0	0	0	35	0	0	1	4	0	0	0	1
Otu00353	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0
Otu00354	0	0	0	0	28	0	0	0	0	0	0	0	0	0	3	92	0	0	0	0
Otu00356	3	13	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
Otu00357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	51
Otu00358	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	53	0	0	0	0
Otu00361	0	0	0	28	0	0	0	0	0	0	0	0	0	0	32	0	0	4	0	0
Otu00363	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00367	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0
Otu00370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0
Otu00374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
Otu00377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu00379	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Otu00380	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu00383	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Otu00387	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	52	0
Otu00388	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
Otu00394	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00396	0	0	0	0	0	1	0	0	0	0	3	9	0	8	0	2	0	0	0	0
Otu00397	0	0	0	0	0	1	9	0	0	0	0	0	0	52	0	0	0	0	0	0
Otu00398	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	0	0	0	0
Otu00399	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0
Otu00400	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0
Otu00402	0	2	0	4	21	1	0	0	0	0	5	1	2	0	0	0	0	0	1	0
Otu00415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu00421	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0
Otu00422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
Otu00424	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00429	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	5
Otu00432	0	0	2	3	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu00437	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0
Otu00446	0	0	0	0	0	0	0	0	33	1	7	0	0	0	0	0	0	0	0	56
Otu00447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
Otu00450	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu00451	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00453	0	0	0	0	0	0	0	0	0	0	0	0	14	0	9	0	0	0	0	0
Otu00457	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	1	0	0	0	0
Otu00458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
Otu00462	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0
Otu00464	0	0	4	1	6	0	2	0	0	0	7	0	0	1	0	0	0	0	0	0
Otu00465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0
Otu00468	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu00471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
Otu00473	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Otu00481	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu00482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0
Otu00491	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Otu00494	1	0	3	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0
Otu00495	0	0	0	0	0	0	0	0	4	2	0	1	1	5	0	4	0	0	0	2
Otu00496	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	4	4	5	0
Otu00497	0	0	0	0	0	0	0	0	0	0	25	0	0	0	15	0	0	0	0	0
Otu00499	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Otu00502	2	13	0	4	2	3	0	0	0	0	0	0	5	1	1	0	0	0	0	0
