OTU_id	F14RootFungi.2p.A4	F14RootFungi.2p.A6	F14RootFungi.2p.B3	F14RootFungi.2p.D1	F14RootFungi.2p.D6	F14RootFungi.H11	F14Group.Root111	F14RootFungi.G12	F14RootFungi.G7	F14RootFungi.H5	F15RootFungi.2p.A4	F15RootFungi.2p.B3	F15RootFungi.2p.D1	F15RootFungi.2p.D6	F15RootFungi.H11	F15RootFungi.2p.A6	F15RootFungi.G12	F15RootFungi.G2	F15RootFungi.G7	F15RootFungi.H5
Otu00330	0	0	0	1	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00331	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00339	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
Otu00340	79	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu00344	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
Otu00345	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
Otu00349	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0
Otu00354	0	0	0	0	0	153	0	0	0	0	0	0	2	0	0	0	0	0	1	0
Otu00355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
Otu00356	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0
Otu00357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	53	9	0
Otu00360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
Otu00361	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Otu00362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Otu00369	0	0	0	0	0	0	1	0	29	5	0	0	0	0	0	0	0	0	0	3
Otu00370	0	0	0	0	1	0	0	0	0	0	0	0	14	24	1	0	0	0	0	0
Otu00373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0
